Kilde,content,tokens
NRGI ERFAblade," © NRGI     BEST  PRACTICE  
SKADESVURDERING  
  
  
    EN HJÆLP TIL AT FORETAGE DEN KORREKTE SKADESVURDERING  
  
 
  
  
  
",47
NRGI ERFAblade," © NRGI  2 INDHOLDSFORTEGNELSE  
 
TAGKONSTRUKTION/ -BELÆGNING/SKORSTEN  ................................ ................................ ................................ ..............  3 
Asbestslam i tagrum  ................................ ................................ ................................ ................................ .....................  4 
Tagets restlevetid  ................................ ................................ ................................ ................................ .........................  5 
Tagmaterialer  ................................ ................................ ................................ ................................ ...............................  6 
Taghældninger  ................................ ................................ ................................ ................................ ..............................  7 
Taghældning ved planeternit skifer  ................................ ................................ ................................ .............................  8 
Hygrodiode  ................................ ................................ ................................ ................................ ................................ ... 9 
Ventilation af tagkonstruktioner  ................................ ................................ ................................ ...............................  11 
Tagkonstruktion med stålplader og lav hældning  ................................ ................................ ................................ ..... 13 
YDERVÆGGE  ................................ ................................ ................................ ................................ ................................ ... 14 
Værn  ................................ ................................ ................................ ................................ ................................ ...........  15 
VINDUER OG DØRE  ................................ ................................ ................................ ................................ .........................  17 
Redningsåbninger  ................................ ................................ ................................ ................................ .......................  18 
Hældning på ovenlysvinduer  ................................ ................................ ................................ ................................ ..... 19 
FUNDAMENTER/SOKLER  ................................ ................................ ................................ ................................ ................  20 
KÆLDER/KRYBEKÆLDER/TERRÆNDÆK  ................................ ................................ ................................ .........................  21 
Indvendige forsatsvægge i kælder  ................................ ................................ ................................ .............................  22 
VÅDRUM (BADEVÆRELSE, TOILET OG BRYGGERS)  ................................ ................................ ................................ .......  23 
Klinker eller fliser med mangelfuld vedhæftning til underlaget i vådrum  ................................ ...............................  24 
Gulvafløb  ................................ ................................ ................................ ................................ ................................ .... 25 
Renovering af gulvafløb  ................................ ................................ ................................ ................................ .............  27 
GULVKONSTRUKTION OG GULVE  ................................ ................................ ................................ ................................ .. 28 
INDERVÆGGE/SKILLEVÆGGE  ................................ ................................ ................................ ................................ .........  29 
Indvendige forsatsvægge  ................................ ................................ ................................ ................................ ...........  30 
LOFTER/ETAGEADSKILLELSER  ................................ ................................ ................................ ................................ ........  31 
INDVENDIGE TRAPPER  ................................ ................................ ................................ ................................ ...................  32 
Indvendige trapper  ................................ ................................ ................................ ................................ .....................  33 
VVS-INSTALLATIONER  ................................ ................................ ................................ ................................ ....................  35 
UNDTAGELSER / FORBEHOLD  ................................ ................................ ................................ ................................ ........  36 
Undtagelse ifm. snedække  ................................ ................................ ................................ ................................ .........  37 
DIVERSE ................................ ................................ ................................ ................................ ................................ ...........  38 
Skadeskarakter GUL  / RØD  ................................ ................................ ................................ ................................ ........  39 
Sælgeroplysninger  ................................ ................................ ................................ ................................ ......................  40 
Ejendommens bygninger og undtagelser  ................................ ................................ ................................ ..................  42 
Sammenskrivning af skader  ................................ ................................ ................................ ................................ .......  44 
Besigtigelse af tag  ................................ ................................ ................................ ................................ .......................  46 ",742
NRGI ERFAblade," © NRGI  3  
TAGKONSTRUKTION /-BELÆGNING/SKORSTEN    
    
 
  ",28
NRGI ERFAblade," © NRGI  4 Asbestslam i tagrum  Dato:  20-01-2022  
Revision:  23-03-2023  
    
Som udgangspunkt skal indtørret asbestslam i tagrum have skadeskarakteren GRÅ .  
Men i tilfælde, hvor forholdet er i massivt omfang, hvor det også ses på gangbro, i område omkring loftlem og 
lignende, hvor vi vurdere det kan hvirvles op, når man færdes i tagrum, gives skadeskarakteren RØD . 
----------------------------------------------------------------------------------------------------------------------------- ------------------  
SKADE - GRÅ : 
Tagplader er blevet renset og malet. Der er i forbindelse med afrensningen trængt slam indeholdende  
asbestfibre ind i tagrummet, hvor det ses aflejret på isolering, gangbro og træværk . 
 
RISIKO:  
 
BEMÆRKNING:  
Størknet asbestslam i urørt tilstand har ingen eller begrænset skadevirkning. Hvis man vil fjerne slammen uden 
professionelt udstyr og - metode, kan  det dog være forbundet med personrisiko.  
----------------------------------------------------------------------------------------------------------------------------- ------------------  
SKADE - RØD : 
Tagplader er blevet renset og malet. Der er i forbindelse  med afrensningen trængt slam indeholdende 
asbestfibre ind i tagrummet, hvor det ses aflejret på isolering, gangbro, træværk og i område omkring loftlem. 
Forholdet er i større omfang.  
 
RISIKO:  
Der er risiko for personskade ved indånding af asbeststøv.  
 
BEMÆRKNING:  
Det vurderes, at forholdet er i et omfang, hvor asbestslam/støv kan hvirvles op, når man færdes i tagrum . 
----------------------------------------------------------------------------------------------------------------------------- --------------- ---
 
 
 
  
",483
NRGI ERFAblade," © NRGI  5 Tagets restlevetid  Dato:  10-02-2022  
Revision:  
    
I Kvalitetsafdelingen får vi en del henvendelser vedr. tagets restlevetid. Henvendelser der ofte afstedkommer 
en revision af den udførte tilstandsrapport.  
 
Sikkerhedsstyrelsens retningslinjer for tagets restlevetid er beskrevet i:  
 
- I Håndbog for beskikked e bygningssagkyndige pkt. 8.8  
- I SIK -vejledning nr. 1 ”Hustypebeskrivelse” fra side 4 og fremefter  
 
Bemærk at der i Håndbog for beskikkede bygningssagkyndige står følgende.  
 
”Angivelsen af restlevetiden skal alene baseres på de oplysninger, som den bygnings -sagkyndige kan skaffe om 
tagets alder og det materiale, der er anvendt til opførelse af den pågældende bygningsdel. Ud fra de oplysninger 
genereres restlevetiden og vises på  en tidslinje. Der indgår således ikke et fagligt skøn af levetiden for taget på 
den konkrete ejendom i angivelsen.  
Har den bygningssagkyndige ingen oplysninger om, hvornår taget eller dele heraf (undertag, skotrender eller 
tagbelægning) er opført, skal d er i Husweb i stedet angives, at tagets restlevetid er ukendt, da der ikke er 
kendskab til opførelsestidspunktet .”  
 
I skal således, hvis I ikke kender tagets opførelsestidspunkt eller hvis I er i tvivl, angive at tagets restlevetid er 
ukendt.  
 
Spørg altid sælger (når I har mulighed for det) om tagets opførelsestidspunkt, hvis I ikke i forvejen kender det 
ud fra tilgæng eligt materiale om bygningen.  
 
Hvis I får tagets opførelsestidspunkt oplyst mundtligt, skal I angive, under bemærkninger, hvorfra i har 
oplysningerne. Skriv f.eks. Tagets opførelsestidspunkt er oplyst mundtligt , af sælger , ved besigtigelsen.  
 
 
 
 
 
  
",622
NRGI ERFAblade," © NRGI  6 Tagm aterialer  Dato:  10-02-2022  
Revision:  
    
Vi oplever nogle gange, at vi møder tagmaterialer, hvor der kan opstå tvivl om, hvorledes de skal angives i 
materialeskemaet.  
 
Da de valg der træffes i materialelisten, danner grundlag for tagets restlevetid, er det vigtigt at der træffes det 
rigtige valg .  
 
Herunder materialer der kan give anledning til tvivl, samt det valg der så skal træffes i materialeskemaet.  
 
Tagmateriale  Materialeskema  
  
Huntonit undertag  Banevare/bitumen/pap  
  
Glaseret teglsten  Der vælges røde vingetagsten eller falstagsten, alt 
efter om det er vingetagsten eller falstagsten  
  
K21 tagsten med fugesystem  Tagsten med fugesystem  
  
Eternitbølgeplader, hvor det ikke kan bestemmes, 
om pladerne er med - eller uden asbest  Under punk tet ” andet ” skrives der følgende:  
Eternitbølgeplader (ved besigtigelsen kunne det 
ikke bestemmes, om pladerne er med - eller uden 
asbest)  
  
 
Er tagbelægningen med - eller uden asbest ?  
 
Hvis vi kender årstallet for tagbelægningen, eller hvis vi kan aflæse nummeret på pladerne, er det forholdsvis 
enkelt at finde ud af, om der er asbest i tagbelægningen.  
 
• Eternittage fra før 1984 indeholder altid asbest.  
• Eternittage fra 1984 -1988 kan indeholde asbest.  
• Eternit produceret efter 1988 indeholder ikke asbes t. 
 
Du kan finde ud af, om bølgeeternittag har asbest ved at tjekke oversiden af tagpladerne. Her vil der være trykt 
et nummer med 5 -10 cifre i pladen.  
 
Hvis det første tal er 0 eller 1, indeholder tagpladen asbest.  
 
Hvis det første tal er 4 eller 5, er de r ikke asbest i taget.  
 
 
 
 
 
 
  ",554
NRGI ERFAblade," © NRGI  7 Taghældninger  Dato:  18-03-2022  
Revision:  22-03-2023  
    
Det skal hermed præciseres, at det ALTID skal angives som en skade i skadesoversigten, i en tilstandsrapport, 
hvis der er tagbelægning monteret med for lav hældning.  
 
Skaden registreres ved brug af NRGI  standardtekster som eksempel herunder.  
 
SKADE  – RØD : 
Tagbelægning med bølgeeternit har mindre taghældningen end foreskrevet af producenten  
(minimum 14 gr. uden undertag).  
 
RISIKO:  
Den lave taghældning giver risiko for fugtindtrængning i samlingerne og derved følgeskader i den 
underliggende konstruktion.  
 
SKADE – GUL: 
Tagbelægning med bølgeeternit har mindre taghældningen end foreskrevet af producenten  
(minimum 14 gr. uden undertag).  
 
RISIKO:  
Den lave taghældning giver risiko for fugtindtrængning i samlingerne og derved følgeskader i den 
underliggende konstruktion på længere sigt.  
 
Herunder forskellige tagmaterialer og deres minimums hældning. Der er flere typer og det kan også afhænge af 
forskellige producenter. Meld gerne ind til ka@nrgi.dk , hvis I finder flere, så opdatere vi skemaet.  
 
Tagbelægning med bølgeeternit.  Minimum 14 gr. uden undertag.  
Tagbelægning med plan eternit.  Minimum 35 gr. uden undertag  
Tagbelægning med stråtag.  Anbefalet min. 45 gr.  
Tagbelægning med vingetegl.  Minimum 40 gr. med understrygning.  
Tagbelægning med falstagsten.  Minimum 35 gr. med understrygning.  
Tagbelægning med teglsten.  Minimum 25 gr. med undertag.  
Tagbelægning med betontegl.  Minimum 14 gr. med undertag.  
Tagbelæg ning med betontegl.  Minimum 20 gr. med understrygning.  
Tagbelægning med Decra  Minimum 12 gr. uden fast undertag.  
Tagbelægning med Decra  Minimum 10 gr. med fast undertag.  
Tagbelægning med stål trapezplader  Minimum 5 gr.  
 
 
Herunder udsnit af afgørelse fra Disciplinær - og klagenævnet for beskikkede bygningssagkyndige:  
”Afgørelse fra Disciplinær - og Klagenævnet for beskikkede Bygningssagkyndige – J.nr. 10030  
Der er i denne sag tale om to forhold, hvor det er vigtigt at pointere, at disse ingen s ammenhæng har. Forhold 1 er vedrørende en 
utilstrækkelig taghældning på garagebygning/udhuset, hvor nævnet slutligt kommer frem til, at den bygningssagkyndige står til  ansvar 
for manglende notering. Hertil foreligger en begrundelse af, at den væsentlig for  lave taghældning er den medvirkende årsag til 
vandindtrængen. Det skal bemærkes, at det fremgår i skønsmandens erklæring, at den reelle taghældning på 4 grader er af væsen tlig 
karakter under den anbefalede på 14 grader, hvorfor denne mærkbare forskel er å rsagen til indtrængen.”  
 
 
 
 
 
 
 ",931
NRGI ERFAblade," © NRGI  8  
Taghældning ved planeternit skifer  Dato:        02-12-2022  
Revision:   
    
Vi ser mange huse med planeternit skifer, der ikke er oplagt efter producentens nugældende 
montagevejledning mht. tagets hældning /anvendelse af undertag .  
 
Ifølge producenten må beklædningen ikke anvendes ved taghældninger under 18o. Ifølge producenten bør der 
etableres undertag ved taghældninger 18 -34°. Oplægning efter kitmetoden bør kun anvendes ved større 
hældning.  
 
Ifl. Cembrit blev der først stillet krav til undertag, ved taghældninger 18 -34°, i 1980´erne .   
 
Jf. BYG -ERFA erfaringsblad (27)930217 er tage uden undertag, ved taghældninger 18 -34°, ikke tilstrækkeligt 
tætte.   
 
Herunder billeder fra et hus med planenternit s kifer, hvor taghældningen er ca. 30o og, hvor der ikke er anvendt 
undertag. Efter vores besigtigelse er der konstateret fugtindtrængning i tagkonstruktionen.  
 
  
 
Forhold som dette  registreres og anføres i tilstandsrapporten  ved brug af vores standardtekster.  
 
SKADE  – RØD : 
Tagbelægning med plan eternit skifer har mindre taghældningen end foreskrevet af producenten  
(minimum 35 gr. uden undertag).  
 
RISIKO:  
Den lave taghældning giver risiko for fugtindtrængning i samlingerne og derved følgeskader i den underliggende 
konstruktion.  
 
SKADE – GUL: 
Tagbelægning med plan eternit skifer har mindre taghældningen end foreskrevet af producenten  
(minimum 35 gr. uden undertag).  
 
RISIKO:  
Den lave taghældning giver risiko for fugtindtrængning i samlingerne og derved følgeskader i den underliggende 
konstruktion på længere sigt.  
 
BEMÆRKNING:  
Ved besigtigelsen ses der ingen tegn på utætheder.  
 
",594
NRGI ERFAblade," © NRGI  9 Hygrodiode  Dato:  26-05-2022  
Revision:  
    
Med den viden vi har, om de risici der er forbundet med anvendelse af Hygrodiode, er det et forhold vi skal 
have skærpet opmærksomhed omkring.  
 
De risici der er forbundet med anvendelse af Hygrodiode  og, hvilke forudsætninger der skal være opfyldt for 
indbygning i u -ventilerede paralleltage (flade eller med hældning), er beskrevet i BYG -ERFA blad (27)051229.  
 
Eksemplet herunder viser en ejendom, hvor der er udført en tilbygning med fladt tag. Den flad e 
tagkonstruktion er udført uden ventilation og tegningsmaterialet beskriver anvendelse af Hygrodiode. 
Tilbygningen, med det flade tag, er placeret mod nord og den oprindelige bygning er placeret mod syd. Da den 
oprindelige bygning er højere end tilbygning en, vil den forårsage mere eller mindre permanent skygge på det 
flade tag, i store dele af dagtimerne.  
 
  
 
I tilfælde som dette skal man, ifm . udførelse af en tilstandsrapport, have skærpet opmærksomhed på, om 
forudsætningerne for anvendelse af Hygrodi ode er opfyldt. Er tagfladen solbeskinnet? – Er dele af tagfladen i 
permanent skygge? – Er der taghave, græstørv eller lignende? – Er der tagterrassebelægning? ……..osv. Læs 
mere herom i BYG -ERFA blad (27)051229.  
 
Hvis der ikke er tegningsmateriale eller an det der gør en opmærksom på anvendelse af Hygrodiode, anføres en 
skade på manglende ventilation af tagkonstruktionen.  
 
Hvis der er anvendt Hygrodiode. Såfremt forudsætningerne for anvendelse af Hygrodiode ikke er opfyldt bør 
der, i tilstandsrapporten, anfø res en skade på forholdet. Eksempler på formulering af skaden, samt 
karakterisering kan ses på næste side.  
 
Ovenstående eksempel er fra en sag, i KA -afdelingen, hvor et forsikringsselskab henvender sig, da køber efter 
overtagelse af ejendommen opdager skad er forbundet med anvendelse af Hygrodiode. I dette tilfælde lykkedes 
det KA -afdelingen, at afvise klagen/henvendelsen. Men sagen kunne med stor sandsynlighed også været faldet 
anderledes ud.  
 
 
 
 
 
",707
NRGI ERFAblade," © NRGI  10  
 
 
 
 
SKADE – RØD : 
Jf. tegningsmateriale er tagkonstruktionen udført som u -ventileret træbaseret tagkonstruktion med 
Hygrodiode. Tagfladen er stedvist ”blød” og eftergivende ved betrædning.  
 
RISIKO:  
Der er risiko for skadelig fugtophobning i tagkonstruktionen og risiko for følgeskader.  
 
BEMÆRKNING:  
- 
 
SKADE - ? (undersøges nærmere):  
Jf. tegningsmateriale er tagkonstruktionen udført som u -ventileret træbaseret tagkonstruktion med 
Hygrodiode. Dele af tagfladen vurderes at være i mere eller mindre permanent skygge pga. xxxxxxxxxxx.  
 
RISIKO:  
- 
 
BEMÆRKNING:  
Det bør undersøges nærmere om forudsætningerne for anvendelse af Hygrodiode er opfyldt. Samt om 
forholdet har givet anledning til fugtskader/fugtophobning i tagkonstruktionen.  
 
 
 
 
  ",296
